Date,Bitcoin_Price
2022-01-01,47686.8125
2022-01-02,47345.21875
2022-01-03,46458.117188
2022-01-04,45897.574219
2022-01-05,43569.003906
2022-01-06,43160.929688
2022-01-07,41557.902344
2022-01-08,41733.941406
2022-01-09,41911.601563
2022-01-10,41821.261719
2022-01-11,42735.855469
2022-01-12,43949.101563
2022-01-13,42591.570313
2022-01-14,43099.699219
2022-01-15,43177.398438
2022-01-16,43113.878906
2022-01-17,42250.550781
2022-01-18,42375.632813
2022-01-19,41744.328125
2022-01-20,40680.417969
2022-01-21,36457.316406
2022-01-22,35030.25
2022-01-23,36276.804688
2022-01-24,36654.328125
2022-01-25,36954.003906
2022-01-26,36852.121094
2022-01-27,37138.234375
2022-01-28,37784.332031
2022-01-29,38138.179688
2022-01-30,37917.601563
2022-01-31,38483.125
2022-02-01,38743.273438
2022-02-02,36952.984375
2022-02-03,37154.601563
2022-02-04,41500.875
2022-02-05,41441.164063
2022-02-06,42412.433594
2022-02-07,43840.285156
2022-02-08,44118.445313
2022-02-09,44338.796875
2022-02-10,43565.113281
2022-02-11,42407.9375
2022-02-12,42244.46875
2022-02-13,42197.515625
2022-02-14,42586.917969
2022-02-15,44575.203125
2022-02-16,43961.859375
2022-02-17,40538.011719
2022-02-18,40030.976563
2022-02-19,40122.15625
2022-02-20,38431.378906
2022-02-21,37075.28125
2022-02-22,38286.027344
2022-02-23,37296.570313
2022-02-24,38332.609375
2022-02-25,39214.21875
2022-02-26,39105.148438
2022-02-27,37709.785156
2022-02-28,43193.234375
2022-03-01,44354.636719
2022-03-02,43924.117188
2022-03-03,42451.789063
2022-03-04,39137.605469
2022-03-05,39400.585938
2022-03-06,38419.984375
2022-03-07,38062.039063
2022-03-08,38737.269531
2022-03-09,41982.925781
2022-03-10,39437.460938
2022-03-11,38794.972656
2022-03-12,38904.011719
2022-03-13,37849.664063
2022-03-14,39666.753906
2022-03-15,39338.785156
2022-03-16,41143.929688
2022-03-17,40951.378906
